New ID,pro Relationship Start Date,pro Relationship End Date
1443014,12/10/2014,03/25/2015
1444096,12/21/2012,01/04/2013
1456624,08/14/2014,09/29/2014
1457492,06/23/2014,07/04/2014
1458529,08/14/2014,09/29/2014
1468726,02/04/2015,03/24/2015
1468726,11/13/2016,12/12/2016
1468726,08/04/2017,
1469669,11/05/2014,02/10/2015
1481084,06/30/2014,07/11/2014
1481084,07/11/2014,09/18/2014
1483390,05/20/2016,10/05/2016
1484205,08/22/2016,08/31/2016
1491332,10/07/2014,03/18/2015
1491332,10/24/2017,
1496099,12/19/2011,07/16/2012
1496099,07/16/2012,03/11/2013
1519952,10/02/2017,
1522629,06/17/2013,09/09/2013
1522629,09/09/2013,09/13/2013
1522629,09/13/2013,01/31/2014
1524296,12/15/2015,02/24/2016
1545192,02/27/2017,03/01/2017
1549322,10/24/2016,11/09/2016
1552123,06/17/2011,07/16/2012
1552123,07/16/2012,11/19/2012
1557888,02/04/2014,04/11/2014
1580534,04/12/2015,06/14/2015
1580534,06/14/2015,07/12/2015
1587639,06/27/2016,07/20/2016
1588504,09/30/2015,02/03/2016
1591769,01/21/2016,05/16/2016
1592555,02/25/2016,04/01/2016
1598327,06/06/2012,08/30/2012
1598327,08/30/2012,10/19/2012
1598327,09/06/2012,10/01/2012
1598327,10/30/2012,12/30/2013
1598514,02/08/2013,05/14/2013
1602746,03/18/2013,08/06/2013
1602746,10/02/2013,02/03/2014
1608407,10/27/2014,11/28/2014
1608407,12/07/2014,04/03/2015
1617129,11/28/2012,02/11/2013
1626788,03/24/2016,07/06/2016
1628455,07/25/2013,04/09/2014
1628455,02/19/2015,04/20/2015
1628455,04/20/2015,05/27/2015
1628455,05/27/2015,08/07/2015
1628455,05/11/2017,
1649366,01/18/2016,03/10/2016
1658889,07/03/2012,07/16/2012
1658889,07/16/2012,12/06/2013
1658889,12/06/2013,03/18/2014
1658889,03/18/2014,06/02/2014
1658889,03/18/2014,09/04/2014
1658889,08/19/2014,09/04/2014
1658889,08/25/2016,02/22/2017
1663232,10/28/2011,02/21/2013
1663232,02/21/2013,05/13/2014
1663232,05/13/2014,12/19/2014
1663232,01/07/2015,07/27/2015
1669855,01/15/2015,07/12/2015
1669855,08/19/2015,10/16/2015
1673284,04/18/2016,06/09/2016
1674394,09/28/2010,07/16/2012
1674394,07/16/2012,12/15/2013
1674394,12/16/2013,02/06/2014
1674394,02/06/2014,07/09/2015
1674938,08/23/2011,03/21/2013
1674938,03/24/2015,05/20/2015
1674938,05/20/2015,09/14/2015
1674938,09/14/2015,09/28/2015
1674938,09/28/2015,11/03/2015
1674938,09/28/2015,11/07/2015
1679891,12/10/2015,12/16/2015
1679891,12/17/2015,02/17/2016
1681449,09/16/2016,10/10/2016
1682449,08/23/2011,05/17/2012
1682449,05/18/2012,09/12/2012
1682449,09/25/2012,04/05/2013
1684849,10/09/2014,01/14/2015
1684849,05/15/2015,06/04/2015
1684849,06/04/2015,09/07/2015
1684849,09/08/2015,11/17/2016
1684849,11/17/2016,02/07/2017
1684849,10/12/2017,
1692888,06/17/2015,07/01/2015
1708879,11/25/2014,04/20/2015
1712920,04/18/2013,07/09/2013
1712920,05/06/2014,07/29/2014
1712920,07/29/2014,12/31/2014
1712920,12/31/2014,05/18/2015
1712920,05/18/2015,03/17/2016
1712920,06/09/2015,07/21/2015
1741458,02/23/2016,07/04/2016
1744440,09/28/2012,10/16/2012
1744440,10/16/2012,11/29/2012
1744440,12/11/2013,07/11/2014
1744440,07/11/2014,07/11/2014
1744440,07/11/2014,07/21/2014
1744440,07/21/2014,10/16/2014
1744440,10/16/2014,10/22/2014
1744440,10/22/2014,11/23/2015
1744440,11/23/2015,03/04/2016
1744440,03/04/2016,03/14/2017
1744440,06/07/2017,
1746878,06/19/2012,10/08/2012
1758764,02/23/2012,02/03/2014
1761281,08/11/2011,07/16/2012
1761281,07/16/2012,03/22/2013
1761281,03/22/2013,03/29/2013
1761281,03/22/2013,04/24/2013
1761281,04/24/2013,09/10/2015
1778394,06/08/2015,09/22/2015
1778553,11/07/2012,02/18/2013
1778553,02/19/2013,03/10/2016
1778553,11/24/2015,12/16/2015
1780122,01/14/2016,02/04/2016
1781942,06/06/2011,07/16/2012
1781942,07/16/2012,09/29/2014
1781942,08/15/2017,
1787842,10/12/2011,06/13/2012
1787842,06/14/2012,07/16/2012
1787842,07/16/2012,01/25/2017
1799668,07/07/2014,07/11/2014
1799668,07/11/2014,08/19/2014
1799880,04/03/2012,05/31/2012
1799880,01/30/2013,03/25/2013
1799880,09/30/2014,03/30/2015
1816732,04/16/2012,04/27/2012
1816732,04/18/2012,04/27/2012
1816732,04/27/2012,07/16/2012
1816732,07/16/2012,11/29/2012
1823342,03/14/2017,03/31/2017
1832186,02/06/2017,03/01/2017
1839641,01/27/2015,03/11/2015
1839641,03/11/2015,03/31/2015
1839641,03/31/2015,10/06/2015
1839641,11/16/2016,01/16/2017
1839641,04/20/2017,
1857932,05/12/2011,07/16/2012
1857932,07/16/2012,05/02/2014
1857932,04/28/2014,07/30/2014
1857932,08/26/2014,02/03/2015
