"New ID","Assessment Actual Start Date","Assessment Completed"
37408826,11/01/2013,11/13/2013
37428860,11/14/2013,12/04/2013
37613659,06/24/2013,08/23/2013
37640492,07/05/2013,08/29/2013
37645275,06/20/2013,07/15/2013
37724525,10/25/2013,12/31/2013
37774768,12/27/2013,03/05/2014
37873020,03/07/2014,03/27/2014
37929266,07/11/2013,08/02/2013
37976790,12/09/2013,03/13/2014
37976790,07/12/2013,09/17/2013
38313670,12/20/2013,03/28/2014
38334199,10/04/2013,10/22/2013
38395931,01/13/2014,03/17/2014
38396774,10/17/2013,01/12/2014
38488533,01/31/2014,03/01/2014
38488533,07/04/2013,08/12/2013
38504166,11/18/2013,01/30/2014
38579399,08/19/2013,08/19/2013
38802887,10/28/2013,01/06/2014
38948918,12/04/2013,02/10/2014
39118699,07/12/2013,08/27/2013
39464168,09/27/2013,11/15/2013
39560096,08/02/2013,10/11/2013
39686277,06/14/2013,08/06/2013
39728426,07/22/2013,08/29/2013
39815200,06/13/2013,10/07/2013
39827624,07/17/2013,08/02/2013
39938269,11/29/2013,12/31/2013
39989818,05/31/2013,07/16/2013
40060169,12/16/2013,01/06/2014
40089196,09/09/2013,10/29/2013
40181104,10/28/2013,12/16/2013
40181104,07/11/2013,08/15/2013
40364385,09/23/2013,11/15/2013
40364385,01/16/2014,03/11/2014
40472688,11/11/2013,11/26/2013
40737383,10/25/2013,01/13/2014
40885966,06/24/2013,08/27/2013
40892140,07/18/2013,01/24/2014
40937076,09/10/2013,11/12/2013
41022289,08/02/2013,08/22/2013
41081835,02/14/2014,03/06/2014
41088758,05/17/2013,07/26/2013
41326741,07/05/2013,07/05/2013
41434640,12/20/2013,01/30/2014
41441964,11/27/2013,03/05/2014
41448577,08/05/2013,08/21/2013
41480807,11/19/2013,01/09/2014
41482581,10/04/2013,12/09/2013
41560557,01/13/2014,02/27/2014
41701008,11/29/2013,02/06/2014
41706370,07/02/2013,08/16/2013
41713452,09/05/2013,10/25/2013
41864524,11/25/2013,01/30/2014
42104479,06/10/2013,08/13/2013
42144845,12/13/2013,03/14/2014
42304041,10/03/2013,01/13/2014
42324445,11/05/2013,01/11/2014
42353781,01/24/2014,02/11/2014
42602383,07/10/2013,08/12/2013
42610760,08/08/2013,10/18/2013
42666692,06/13/2013,07/31/2013
42706622,01/30/2014,03/18/2014
42753906,08/14/2103,11/13/2013
42761526,01/07/2014,01/27/2014
42761526,07/09/2013,07/09/2013
42761526,02/10/2014,03/09/2014
42787291,10/25/2013,03/27/2014
42813340,09/12/2013,11/08/2013
42862725,10/10/2013,12/11/2013
42981767,06/26/2013,08/29/2013
42992854,01/10/2014,03/14/2014
43045392,11/27/2013,11/29/2013
43057767,08/30/2013,10/11/2013
43079488,05/20/2013,07/02/2013
43171819,09/09/2013,10/17/2013
43282389,06/28/2013,12/04/2013
43415557,01/10/2014,01/23/2014
43531735,07/10/2013,10/31/2013
43589742,09/16/2013,11/25/2013
43726529,08/08/2013,10/18/2013
43776774,05/23/2013,08/16/2013
43880929,05/21/2013,07/22/2013
44110624,12/16/2013,01/27/2014
44174133,07/24/2013,08/20/2013
44184052,07/03/2013,08/05/2013
44263947,07/26/2013,01/14/2014
44307145,10/07/2013,12/12/2013
44478866,07/15/2013,11/11/2013
44533724,07/12/2013,09/11/2013
44563112,07/01/2013,07/10/2013
44708911,12/20/2013,03/04/2014
44805253,09/03/2013,09/12/2013
44847334,01/07/2014,02/24/2014
44874068,07/10/2013,09/10/2013
44914533,09/27/2013,11/12/2013
44961873,10/03/2013,03/04/2014
44963593,01/28/2014,03/27/2014
44963593,12/05/2013,01/06/2014
45015353,09/25/2013,11/12/2013
45115108,07/03/2013,09/05/2013
45296351,07/05/2013,08/20/2013
45298099,09/09/2013,10/17/2013
45408152,08/02/2013,09/12/2013
45467810,07/11/2013,08/06/2013
45548282,02/26/2014,03/17/2014
45548906,08/05/2013,10/08/2013
45612626,10/01/2013,01/17/2014
45706747,10/28/2013,12/17/2013
45719422,10/30/2013,11/11/2013
45748349,07/26/2013,09/11/2013
45879278,01/20/2014,03/24/2014
46154064,11/15/2013,01/07/2014
46220036,10/16/2013,11/04/2013
46298562,12/13/2013,02/19/2014
46344679,07/15/2013,09/17/2013
46349047,10/14/2013,11/25/2013
46596665,12/04/2013,02/10/2014
46698126,01/24/2014,02/11/2014
46773597,07/03/2013,08/22/2013
46807944,07/09/2013,08/06/2013
46823939,06/19/2013,08/07/2013
46965831,08/07/2013,09/25/2013
46979680,11/29/2013,02/24/2014
47088795,11/26/2013,02/06/2014
47124884,10/28/2013,12/17/2013
47127131,10/08/2013,11/13/2013
47420298,07/01/2013,07/30/2013
47449623,09/13/2013,10/07/2013
47502510,11/07/2013,01/02/2014
47768294,08/12/2013,11/05/2013
47877351,01/16/2014,02/20/2014
47971231,11/25/2013,01/02/2014
48011899,09/06/2013,10/21/2013
48023950,10/15/2013,12/03/2013
48082694,08/22/2013,10/03/2013
48173900,08/07/2013,10/08/2013
48279560,02/03/2014,03/28/2014
48328099,12/03/2013,02/07/2014
48367102,07/16/2013,10/11/2013
48411732,01/21/2014,03/13/2014
48488550,12/03/2013,03/20/2014
48501893,09/11/2103,09/26/2013
48624920,11/08/2013,01/15/2014
48658483,07/26/2013,08/30/2013
48683114,05/28/2013,07/30/2013
48683114,01/21/2014,03/26/2014
48683335,08/14/2013,08/15/2013
48690131,07/29/2013,09/17/2013
48713456,04/13/2014,03/25/2014
48770659,12/19/2013,02/20/2014
48779649,08/19/2013,09/01/2013
48782146,12/13/2013,03/12/2014
48886657,08/21/2013,12/30/2013
49037637,11/01/2013,01/08/2014
49098279,07/03/2013,12/16/2013
49111166,11/11/2013,12/11/2013
49151699,08/21/2013,08/27/2013
49170698,09/18/2013,10/14/2013
49230877,06/26/2013,08/06/2013
49237685,06/07/2013,08/12/2013
49283417,10/03/2013,03/04/2014
49392947,06/03/2013,09/13/2013
49454091,12/06/2013,02/19/2014
49576887,09/06/2013,11/08/2013
49831012,10/04/2013,11/22/2013
49876510,10/21/2013,12/06/2013
49894583,12/23/2013,02/10/2014
49991800,09/26/2013,12/13/2013
50318948,07/25/2013,10/22/2013
50406972,09/18/2013,11/04/2013
50459892,08/20/2013,10/08/2013
50867426,07/02/2013,09/13/2013
51033100,07/02/2013,09/13/2013
51033100,10/01/2013,10/14/2013
51184737,06/27/2013,08/15/2013
51404549,06/12/2013,07/31/2013
51474567,08/06/2013,08/29/2013
51677733,07/31/2013,08/05/2013
51925809,11/27/2013,12/20/2013
51955349,09/11/2013,11/13/2013
52005630,11/15/2013,12/02/2013
52053372,08/12/2013,09/28/2013
52072385,09/19/2013,10/31/2013
52103853,05/17/2013,07/08/2013
52159775,09/24/2013,12/12/2013
52210743,07/01/2013,08/14/2013
52258410,12/11/2013,02/17/2014
52423637,10/22/2013,12/24/2013
52871957,05/13/2013,07/03/2013
52932683,07/03/2013,08/19/2013
53166784,06/11/2013,07/30/2013
53171991,11/12/2013,11/20/2013
53178450,11/01/2013,01/08/2014
53209969,02/03/2014,03/21/2014
53269097,08/20/2013,09/05/2013
53306600,08/21/2013,10/21/2013
53358717,12/04/2013,02/09/2014
53484129,01/30/2014,03/18/2014
53561523,10/14/2013,03/07/2014
53566118,07/10/2013,08/22/2013
53615947,12/05/2013,01/07/2014
53749701,10/29/2013,01/28/2014
53882409,10/04/2013,10/18/2013
53891436,12/09/2013,02/12/2014
54042212,05/10/2013,08/05/2013
54045876,09/20/2013,11/08/2013
54060463,10/16/2013,11/04/2013
54122226,01/24/2014,02/11/2014
54137274,08/19/2013,09/03/2013
54151304,10/23/2013,01/10/2014
54607739,12/30/2013,02/13/2014
54893816,11/04/2013,01/06/2014
55052503,08/23/2013,10/14/2013
55115177,10/04/2013,12/11/2013
55177730,09/09/2013,11/11/2013
55220624,09/23/2013,10/02/2013
55223568,02/19/2014,02/27/2014
55317051,07/18/2013,09/19/2013
55324671,09/18/2013,11/05/2013
55630068,11/19/2013,01/17/2014
55786350,08/29/2013,10/24/2013
55924637,07/29/2013,08/12/2013
55984518,08/02/2013,11/26/2013
55990769,09/19/2013,11/04/2013
56163846,05/28/2013,07/14/2013
56248861,10/22/2013,12/11/2013
56252168,11/29/2013,01/21/2014
56448926,07/29/2013,11/27/2013
56448926,12/17/2013,02/07/2014
56487556,12/04/2013,01/06/2014
56768315,02/06/2014,02/14/2014
56800453,11/18/2013,01/13/2014
56824153,09/06/2013,11/08/2013
56932671,12/20/2013,03/20/2014
56961187,01/21/2014,01/23/2014
