"New ID","Placement start","Placement type","Legal status"
51474567,08/06/2013,"Q2","V2"
51567615,06/23/2015,"R2","C1"
51576560,08/17/2016,"R3","C1"
51613045,07/18/2014,"U6","J1"
51660123,01/16/2017,"U6","L1"
51769584,04/19/2012,"H5","V2"
51859588,07/21/2012,"Q1","V2"
52005630,11/19/2013,"H5","V2"
52028749,07/15/2016,"U6","L1"
52072385,01/03/2014,"R2","C1"
52197247,04/25/2013,"H5","J1"
52264987,09/11/2015,"H5","V2"
52405764,10/14/2012,"Q2","V2"
52623093,05/23/2016,"U6","L1"
52989285,09/03/2015,"U6","V2"
53032319,04/13/2015,"H5","V2"
53260039,01/06/2014,"Q2","V2"
53397070,04/24/2014,"U6","V2"
53427816,11/30/2016,"U3","V2"
53475568,04/29/2016,"U6","C1"
53475568,01/12/2017,"U6","V2"
53568869,09/13/2015,"U6","L1"
53591509,09/23/2014,"H5","V2"
53615947,10/03/2014,"U6","L1"
53664920,10/29/2013,"Q2","C1"
53882409,10/11/2013,"Q2","L1"
53962709,02/16/2017,"U6","C1"
54053305,01/13/2016,"U6","L1"
54076803,01/07/2013,"R5","J1"
54080817,06/29/2012,"Q2","L2"
54151304,05/01/2015,"U3","V2"
54194186,05/29/2012,"Q2","L1"
54435135,12/19/2013,"Q2","C1"
54689839,05/12/2012,"K2","J1"
54689839,12/23/2013,"H5","V2"
54778349,07/17/2013,"Q2","L1"
54865680,09/26/2014,"U3","V2"
54999754,03/31/2017,"H5","V2"
55045060,06/16/2015,"K2","V2"
55190768,01/22/2014,"Q2","C1"
55220624,09/27/2013,"H5","V2"
55223568,02/19/2014,"Q2","V2"
55286073,05/20/2014,"U6","L1"
55312158,11/07/2016,"R2","C1"
55449040,03/04/2013,"Q2","L1"
55506199,05/02/2013,"Q2","V2"
55519506,02/23/2015,"K2","V2"
55625682,01/17/2017,"U6","V2"
56136437,01/11/2017,"K2","L1"
56248697,05/15/2014,"U6","C1"
