New ID,Age at referral,Gender,Ethnicity,Ward,Referral date
2884207,2,Female,White,Tottenham Green,03/25/2013
2884207,3,F,White,Tottenham Green,09/29/2014
2892917,0,M,Black or Black British,,11/04/2015
2904644,11,F,Black or Black British,St Ann's,12/19/2014
2904644,12,F,Black or Black British,St Ann's,02/08/2016
2904644,13,F,Black or Black British,St Ann's,11/07/2016
2907497,1,M,Chinese or other ethnic group,West Green,10/15/2015
2912556,17,M,Black or Black British,,08/08/2016
2915796,3,M,,,07/04/2014
2915796,5,M,,,02/15/2016
2915796,6,M,,,04/10/2017
2918314,16,F,Black or Black British,West Green,07/31/2015
2940177,16,M,Not stated,Tottenham Hale,07/27/2016
2947459,0,Male,Mixed / multiple,St Ann's,01/22/2013
2958496,7,M,White,Bounds Green,04/02/2015
2980092,12,F,White,Crouch End,10/10/2017
2980827,8,F,Mixed,Bruce Grove,07/22/2015
3006098,1,F,Not stated,Bruce Grove,11/17/2015
3012138,2,F,Asian or Asian British,Northumberland Park,07/11/2017
3024783,4,M,Mixed,Northumberland Park,11/08/2016
3024783,4,M,Mixed,Northumberland Park,06/06/2017
3025989,8,F,Not stated,Harringay,06/14/2017
3029150,1,Female,Black / African / Caribbean / Black British,Bruce Grove,04/13/2012
3030312,12,M,White,Bounds Green,01/19/2017
3039153,16,Female,Black / African / Caribbean / Black British,,04/10/2012
3046477,10,M,Black or Black British,West Green,07/18/2017
3049494,17,M,White,West Green,11/28/2016
3049592,0,Male,Mixed / multiple,Tottenham Green,02/21/2013
3050070,8,F,Mixed,Highgate,03/04/2015
3062780,0,M,Black or Black British,,05/04/2017
3064248,0,F,Not stated,,02/16/2015
3067385,2,M,White,,01/21/2016
3070801,1,Female,No data,,04/27/2012
3070801,7,F,Not stated,,09/04/2017
3076041,15,Female,Black / African / Caribbean / Black British,,05/22/2012
3079526,12,Female,Black / African / Caribbean / Black British,,07/31/2012
3081915,0,U,,Northumberland Park,11/03/2017
3093543,7,F,Black or Black British,Bruce Grove,12/19/2016
3114046,4,Male,White,,04/26/2012
3123786,0,F,White,Noel Park,11/20/2014
3123786,0,F,White,Noel Park,07/01/2015
3128637,15,M,Black or Black British,Woodside,08/08/2017
3130190,10,F,Not stated,Tottenham Green,10/24/2016
3132531,16,F,Not stated,St Ann's,12/23/2014
3141392,12,F,White,Muswell Hill,01/08/2016
3142367,2,Male,White,Noel Park,08/14/2012
3163668,15,M,Asian or Asian British,,08/10/2015
3183391,6,F,Black or Black British,Tottenham Hale,05/16/2017
3192983,7,M,White,Highgate,06/23/2017
3210215,5,Female,Black / African / Caribbean / Black British,Northumberland Park,01/22/2013
3217526,7,M,Chinese or other ethnic group,Northumberland Park,11/17/2016
3241489,13,F,White,Noel Park,02/18/2015
3241489,13,F,White,Noel Park,04/23/2015
3241489,14,F,White,Noel Park,02/05/2016
3241489,15,F,White,Noel Park,06/20/2016
3241489,15,F,White,Noel Park,10/21/2016
3241489,15,F,White,Noel Park,02/27/2017
3250374,6,M,Black or Black British,Tottenham Hale,03/27/2017
3258932,7,M,Not stated,St Ann's,03/02/2015
3260461,7,Female,White,Tottenham Green,02/21/2013
3273644,6,Male,Black / African / Caribbean / Black British,,07/26/2012
3274948,7,F,Asian or Asian British,,07/11/2014
3276628,15,M,Chinese or other ethnic group,White Hart Lane,06/27/2016
3278277,15,M,Chinese or other ethnic group,Bruce Grove,07/06/2015
3280642,0,F,,Stroud Green,07/21/2014
3285271,12,F,White,Fortis Green,08/23/2017
3293019,5,M,White,,09/16/2014
3304100,9,M,Black or Black British,White Hart Lane,06/17/2016
3306188,6,M,White,,05/29/2014
3306188,9,M,White,,04/04/2017
3310757,11,F,Mixed,Bruce Grove,10/17/2017
3316672,7,F,White,Bruce Grove,02/22/2016
3316672,7,F,White,Bruce Grove,03/10/2016
3316672,8,F,White,Bruce Grove,10/10/2017
3333674,2,F,Black or Black British,,11/03/2015
3333674,2,F,Black or Black British,,03/31/2016
3333674,3,F,Black or Black British,,03/09/2017
3334037,14,M,Chinese or other ethnic group,Noel Park,03/17/2017
3334037,14,M,Chinese or other ethnic group,Noel Park,07/19/2017
3341696,0,F,Black or Black British,St Ann's,05/02/2014
3341696,0,F,Black or Black British,St Ann's,08/19/2014
3342376,7,F,White,Bounds Green,08/01/2017
3343908,10,F,Black or Black British,West Green,06/15/2016
3343908,11,F,Black or Black British,West Green,06/30/2017
3344743,7,M,White,Muswell Hill,02/09/2017
3348267,10,M,Black or Black British,Harringay,04/04/2017
3348267,11,M,Black or Black British,Harringay,06/23/2017
3361190,1,F,White,Harringay,11/14/2016
3361753,13,F,Black or Black British,Tottenham Green,09/05/2016
3370152,0,U,Not stated,,11/23/2016
3377586,4,M,Asian or Asian British,Woodside,01/19/2017
3392922,3,M,Black or Black British,Tottenham Hale,03/30/2015
3397958,9,M,Black or Black British,,06/02/2014
3397958,10,M,Black or Black British,,06/08/2015
3407531,6,Male,White,Seven Sisters,08/23/2012
3427679,15,M,Black or Black British,,11/17/2016
3435224,5,F,Black or Black British,Tottenham Green,08/06/2015
3450103,17,F,White,Crouch End,10/05/2015
3466753,13,M,Mixed,Highgate,04/28/2016
3473059,6,M,Black or Black British,Noel Park,05/09/2017
3473771,8,F,,White Hart Lane,11/12/2014
3481251,8,F,Black or Black British,Seven Sisters,03/08/2016
3498521,15,F,Not stated,Tottenham Hale,05/08/2014
3525704,15,F,Not stated,Tottenham Hale,04/12/2017
3525704,16,F,Not stated,Tottenham Hale,10/27/2017
