"New ID","Started Date","Assessment End Date"
27729917,11/19/2014,01/09/2015
27779891,03/18/2015,03/18/2015
27843028,07/02/2014,08/13/2014
27886881,05/20/2014,06/02/2014
27917350,06/03/2014,07/03/2014
27948601,03/25/2014,05/15/2014
27950938,09/10/2014,09/23/2014
27988228,05/08/2014,06/09/2014
28005121,02/13/2014,04/09/2014
28042869,09/17/2014,10/16/2014
28193641,03/03/2015,03/11/2015
28229740,10/20/2014,11/28/2014
28243925,11/05/2013,04/10/2014
28383073,09/26/2014,10/08/2014
28454891,06/17/2014,07/24/2014
28538424,10/29/2014,01/06/2015
28549181,08/15/2014,09/17/2014
28566300,08/13/2014,09/10/2014
